,year_alias,year_name
0,.07 ,2007
1,.08 ,2008
2,.09 ,2009
3,.10 ,2010
4,.11 ,2011
5,.12 ,2012
6,.13 ,2013
7,.14 ,2014
8,.15 ,2015
9,.16 ,2016
10,.17 ,2017
11,.18 ,2018
12,.19 ,2019
13,.20 ,2020
14,.21 ,2021
15,.07\n,2007
16,.08\n,2008
17,.09\n,2009
18,.10\n,2010
19,.11\n,2011
20,.12\n,2012
21,.13\n,2013
22,.14\n,2014
23,.15\n,2015
24,.16\n,2016
25,.17\n,2017
26,.18\n,2018
27,.19\n,2019
28,.20\n,2020
29,.21\n,2021
30,2007,2007
31,2008,2008
33,2009,2009
32,2010,2010
34,2011,2011
35,2012,2012
36,2013,2013
37,2014,2014
38,2015,2015
39,2016,2016
40,2017,2017
41,2018,2018
42,2019,2019
43,2020,2020
44,2021,2021
45,.7 ,2007
46,.8 ,2008
47,.9 ,2009
48,.7\n,2007
49,.8\n,2008
50,.9\n,2009

